Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0339385 1.1985588], train_acc=[0.65775 0.5929 ]
22/100: train_loss=[0.3321696 0.6081823], train_acc=[0.89465 0.7735 ]
24/100: train_loss=[0.3220045 0.5554106], train_acc=[0.89635 0.7966 ]
26/100: train_loss=[0.3395233  0.57839453], train_acc=[0.89085 0.78885]
28/100: train_loss=[0.31556445 0.52853435], train_acc=[0.9015 0.8039]
30/100: train_loss=[0.33611867 0.56721413], train_acc=[0.8916 0.7837]
32/100: train_loss=[0.29212683 0.5450698 ], train_acc=[0.9049 0.7946]
34/100: train_loss=[0.28596133 0.53414536], train_acc=[0.90785 0.79945]
36/100: train_loss=[0.2800996 0.5259465], train_acc=[0.90835 0.80305]
38/100: train_loss=[0.2857752  0.54134095], train_acc=[0.90755 0.8025 ]
40/100: train_loss=[0.27551585 0.5130203 ], train_acc=[0.91305 0.81305]
42/100: train_loss=[0.2761969  0.55853623], train_acc=[0.91265 0.7869 ]
44/100: train_loss=[0.27174366 0.53439546], train_acc=[0.9127 0.8053]
46/100: train_loss=[0.26505238 0.5212399 ], train_acc=[0.91575 0.8114 ]
48/100: train_loss=[0.26130673 0.50487816], train_acc=[0.9148  0.81685]
50/100: train_loss=[0.2589206 0.5017203], train_acc=[0.9186 0.8175]
52/100: train_loss=[0.25562358 0.50416875], train_acc=[0.9185 0.8167]
54/100: train_loss=[0.25159976 0.5044143 ], train_acc=[0.92045 0.81555]
56/100: train_loss=[0.25831857 0.49796295], train_acc=[0.91785 0.82065]
58/100: train_loss=[0.24169159 0.5049569 ], train_acc=[0.92325 0.81985]
60/100: train_loss=[0.2447927 0.4919281], train_acc=[0.9212  0.82085]
62/100: train_loss=[0.24941151 0.5276947 ], train_acc=[0.9198  0.80785]
64/100: train_loss=[0.24139608 0.4902482 ], train_acc=[0.92435 0.8241 ]
66/100: train_loss=[0.23696123 0.48808697], train_acc=[0.92445 0.82515]
68/100: train_loss=[0.23655088 0.50939053], train_acc=[0.92615 0.81725]
70/100: train_loss=[0.25673088 0.51831925], train_acc=[0.9171 0.8157]
72/100: train_loss=[0.24931838 0.49443775], train_acc=[0.9218  0.82065]
74/100: train_loss=[0.23981771 0.49745822], train_acc=[0.92535 0.82375]
76/100: train_loss=[0.24552402 0.48465335], train_acc=[0.9222 0.8254]
78/100: train_loss=[0.2331934  0.48706067], train_acc=[0.9256 0.8236]
80/100: train_loss=[0.22954845 0.4873867 ], train_acc=[0.9272 0.8251]
82/100: train_loss=[0.25308844 0.5052996 ], train_acc=[0.91965 0.8144 ]
84/100: train_loss=[0.2259929  0.48088485], train_acc=[0.9295 0.8243]
86/100: train_loss=[0.23252845 0.47742406], train_acc=[0.9247 0.8268]
88/100: train_loss=[0.23778076 0.4733351 ], train_acc=[0.9253 0.8292]
90/100: train_loss=[0.22747935 0.48764113], train_acc=[0.9292 0.8294]
92/100: train_loss=[0.2387056 0.4941405], train_acc=[0.92435 0.82065]
94/100: train_loss=[0.22551376 0.47829694], train_acc=[0.92775 0.8267 ]
96/100: train_loss=[0.23907547 0.48753464], train_acc=[0.9246 0.8262]
98/100: train_loss=[0.23545654 0.47402588], train_acc=[0.9268 0.8312]
100/100: train_loss=[0.23576732 0.47747472], train_acc=[0.9263  0.82825]
**** Time taken for fashion_and_mnist_3 = 2091.41015124321
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3921291 1.1677758], train_acc=[0.52135 0.56745]
2/100: train_loss=[0.98211664 0.86056936], train_acc=[0.6648 0.6868]
4/100: train_loss=[0.6454989 0.7535053], train_acc=[0.78905 0.71575]
6/100: train_loss=[0.57756275 0.70207876], train_acc=[0.8094  0.74015]
8/100: train_loss=[0.70337087 0.73057526], train_acc=[0.7684 0.7283]
10/100: train_loss=[0.46910185 0.6598953 ], train_acc=[0.8448 0.7541]
12/100: train_loss=[0.4144139 0.6206247], train_acc=[0.86585 0.76735]
14/100: train_loss=[0.3830348 0.611261 ], train_acc=[0.87755 0.77245]
16/100: train_loss=[0.36555338 0.6000805 ], train_acc=[0.88235 0.77475]
18/100: train_loss=[0.34742653 0.58338535], train_acc=[0.88875 0.7824 ]
20/100: train_loss=[0.35388812 0.57522374], train_acc=[0.88425 0.78755]
22/100: train_loss=[0.3284622 0.5673891], train_acc=[0.89315 0.7931 ]
24/100: train_loss=[0.319251  0.5746493], train_acc=[0.89925 0.78815]
26/100: train_loss=[0.3168197  0.56303245], train_acc=[0.898   0.79315]
28/100: train_loss=[0.3307025  0.57503057], train_acc=[0.894  0.7861]
30/100: train_loss=[0.34140486 0.5524358 ], train_acc=[0.8902 0.7976]
32/100: train_loss=[0.29091096 0.54062706], train_acc=[0.9096  0.80095]
34/100: train_loss=[0.31004205 0.5462021 ], train_acc=[0.90325 0.7964 ]
36/100: train_loss=[0.30645248 0.55356765], train_acc=[0.9025 0.798 ]
38/100: train_loss=[0.29861653 0.5367493 ], train_acc=[0.9037  0.80045]
40/100: train_loss=[0.28673005 0.5490262 ], train_acc=[0.91   0.8001]
42/100: train_loss=[0.28762576 0.5376298 ], train_acc=[0.90655 0.80065]
44/100: train_loss=[0.29119977 0.5380714 ], train_acc=[0.9091 0.801 ]
46/100: train_loss=[0.26705223 0.5255956 ], train_acc=[0.91765 0.80285]
48/100: train_loss=[0.2708124 0.5312785], train_acc=[0.91315 0.80475]
50/100: train_loss=[0.26982674 0.5200014 ], train_acc=[0.91445 0.80955]
52/100: train_loss=[0.25818563 0.51954365], train_acc=[0.9183 0.811 ]
54/100: train_loss=[0.25799754 0.55190927], train_acc=[0.91795 0.7992 ]
56/100: train_loss=[0.26227978 0.518929  ], train_acc=[0.91455 0.8094 ]
58/100: train_loss=[0.26274443 0.5176045 ], train_acc=[0.9156  0.80915]
60/100: train_loss=[0.25017124 0.512753  ], train_acc=[0.9209 0.8122]
62/100: train_loss=[0.25692204 0.5355575 ], train_acc=[0.9177  0.80295]
64/100: train_loss=[0.2532637  0.53038424], train_acc=[0.9191  0.80495]
66/100: train_loss=[0.26045552 0.51248604], train_acc=[0.9158 0.8123]
68/100: train_loss=[0.24936154 0.5012291 ], train_acc=[0.9205 0.8155]
70/100: train_loss=[0.24316566 0.51029235], train_acc=[0.9241 0.8105]
72/100: train_loss=[0.2414534 0.4965279], train_acc=[0.923   0.82065]
74/100: train_loss=[0.24501248 0.50989103], train_acc=[0.92285 0.81225]
76/100: train_loss=[0.24494493 0.5313404 ], train_acc=[0.92085 0.80115]
78/100: train_loss=[0.24080929 0.5027614 ], train_acc=[0.92355 0.81425]
80/100: train_loss=[0.2459447 0.5254287], train_acc=[0.9223  0.80835]
82/100: train_loss=[0.2432548  0.49672914], train_acc=[0.9238 0.8195]
84/100: train_loss=[0.2518404  0.49498254], train_acc=[0.92055 0.8154 ]
86/100: train_loss=[0.2580984 0.5016437], train_acc=[0.9183 0.8152]
88/100: train_loss=[0.23927023 0.49675307], train_acc=[0.92335 0.81675]
90/100: train_loss=[0.26959515 0.49520147], train_acc=[0.91425 0.8189 ]
92/100: train_loss=[0.23981152 0.5018412 ], train_acc=[0.92485 0.81505]
94/100: train_loss=[0.2337267 0.4876375], train_acc=[0.9256  0.82015]
96/100: train_loss=[0.23429859 0.48789164], train_acc=[0.9257  0.82255]
98/100: train_loss=[0.24053681 0.51417917], train_acc=[0.92315 0.81325]
100/100: train_loss=[0.23480298 0.50566685], train_acc=[0.9249 0.817 ]
**** Time taken for fashion_and_mnist_4 = 2093.399589538574
**** Time taken for fashion_and_mnist = 10875.707971334457
